Firm,Topic,Name,Probability
AQR,-1,-1_growth_global_inflation_market,0.0
Amundi,-1,-1_growth_global_inflation_market,0.0
BMO,-1,-1_growth_global_inflation_market,0.0
BNYM,-1,-1_growth_global_inflation_market,0.0
BlackRock,-1,-1_growth_global_inflation_market,0.0
CapitalGroup,-1,-1_growth_global_inflation_market,0.0
Fidelity,-1,-1_growth_global_inflation_market,0.0
FranklinTempleton,-1,-1_growth_global_inflation_market,0.0
GMO,-1,-1_growth_global_inflation_market,0.0
GoldmanSachs,-1,-1_growth_global_inflation_market,0.0
Invesco,-1,-1_growth_global_inflation_market,0.0
JPMorgan,-1,-1_growth_global_inflation_market,0.0
Morningstar,-1,-1_growth_global_inflation_market,0.0
NothernTrust,-1,-1_growth_global_inflation_market,0.0
StateStreet,-1,-1_growth_global_inflation_market,0.0
TRowePrice,-1,-1_growth_global_inflation_market,0.0
TrowePrice,-1,-1_growth_global_inflation_market,0.0
Troweprice,-1,-1_growth_global_inflation_market,0.0
UBS,-1,-1_growth_global_inflation_market,0.0
Vanguard,-1,-1_growth_global_inflation_market,0.0
Voya,-1,-1_growth_global_inflation_market,0.0
WellsFargoInvestmentInstitute,-1,-1_growth_global_inflation_market,0.0
