Firm,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
AQR,1.6427214168497347e-308,1.997654182542204e-308,1.9303315531427114e-308,1.0,2.142204988921963e-308,2.2568590382674567e-308
Amundi,1.845673409124492e-308,1.0,2.011754593836535e-308,1.9742807230615954e-308,2.923520147618663e-308,3.6113559242362993e-308
BMO,2.075124848901554e-308,2.07769139946129e-308,1.0,1.6340107135651304e-308,2.05797955490662e-308,1.6751271552932236e-308
BNYM,0.07045308716906257,0.11604299472347981,0.07634065310602425,0.22916688226485937,0.11227167129288039,0.14641667718370938
BlackRock,1.70325258995767e-308,3.249191019780203e-308,1.767410630174284e-308,2.198934464427002e-308,2.6723923565446282e-308,1.0
CapitalGroup,1.8420100516762926e-308,1.0,2.069217981313688e-308,2.2563759196938e-308,2.676757298886636e-308,2.441867341700465e-308
Fidelity,0.07065174560109562,0.14585076628733415,0.13046984861326671,0.08412454110026434,0.2482016644574563,0.11605681144933816
FranklinTempleton,0.12766753589563984,0.3150711570130765,0.15023087878106783,0.13254339097045503,0.12237738751206659,0.11297194011694404
GMO,0.11299108512445757,0.14455424879504403,0.28792701870850074,0.1446440973929729,0.14030346914512914,0.10750504123115055
GoldmanSachs,0.1373710998895451,0.07753989205017846,0.16289765530674363,0.06924061213804027,0.0711092164806236,0.08126551534070311
Invesco,0.22389069673583736,0.09208799742555306,0.09927382559512853,0.07858753870115498,0.07901468562369574,0.10716345996866757
JPMorgan,1.459225600112534e-308,2.417871993225871e-308,2.022591963894285e-308,2.1631983643648704e-308,1.0,3.8627682987625473e-308
Morningstar,0.14440576355761353,0.14785728134992898,0.228472502698781,0.11033696722103291,0.10173861669753684,0.09767028197514115
NothernTrust,0.2248431646452882,0.07814108402001348,0.14110296011492743,0.09114356858527106,0.06912731879473556,0.07655890146212428
StateStreet,1.0,1.429871762841356e-308,1.8607133723624303e-308,1.6993558979587366e-308,1.248447921944461e-308,1.4444006756595834e-308
TRowePrice,0.11536079317401451,0.15841879808018255,0.29078140252777923,0.10926043236735578,0.15982093561795008,0.10866413265328052
TrowePrice,0.0821682438681018,0.09266355862885914,0.09463305363687631,0.07704886754105322,0.1394800303841068,0.09281757201297484
Troweprice,1.0,1.608461052748132e-308,2.0275914888518756e-308,1.657402087631264e-308,1.3863899898600706e-308,1.6496502326818104e-308
UBS,2.3538239404501837e-308,2.0816719987971754e-308,1.0,2.128270439849401e-308,2.218883099482601e-308,1.9765756845586017e-308
Vanguard,1.4747387127230824e-308,2.6206466301787884e-308,1.752254425998801e-308,2.2389412548459146e-308,3.7868755364859236e-308,1.0
Voya,1.7633450199893464e-308,2.0584393970654927e-308,1.7669076783686613e-308,1.0,1.696541748587612e-308,2.1501664136312575e-308
WellsFargoInvestmentInstitute,1.31945410921377e-308,2.6812799881439906e-308,1.9131594804075614e-308,2.0755583167665697e-308,1.0,3.072137131812946e-308
