topic,word,weight
0,expected,0.053761132650070195
0,return,0.05216938023475838
0,returns,0.04897151150446236
0,real,0.0459254645870096
0,assumptions,0.03747421356608595
0,aqr,0.03628743169300013
0,market,0.036286132295416974
0,capital,0.03290887935624298
0,yield,0.03202653392828922
0,asset,0.028859995583694523
1,growth,0.03633676233873448
1,global,0.03503942027411548
1,market,0.02926153429789749
1,investment,0.028593425940935533
1,inflation,0.027031013461932745
1,markets,0.026664254095783345
1,index,0.023302487789676894
1,economic,0.023232606781160275
1,rates,0.022597832890218727
1,investors,0.021210734562366756
2,investment,0.03622715120116787
2,growth,0.027696536852421308
2,market,0.026917534815043092
2,global,0.023640587593947764
2,markets,0.023206294147874174
2,inflation,0.022303181039690933
2,2022,0.0214375801626359
2,investors,0.020495405365902473
2,year,0.01840336806804511
2,strategy,0.018174714201465332
