Paper,topic,word,weight
Paper,0,investment,0.033348957643027796
Paper,0,global,0.03133178503382709
Paper,0,growth,0.026844524990460274
Paper,0,outlook,0.026306254056876456
Paper,0,market,0.026281503958660822
Paper,0,investors,0.026003745125344688
Paper,0,markets,0.024627033099454358
Paper,0,inflation,0.02429952439752047
Paper,0,year,0.02295410009761024
Paper,0,economic,0.020219768277323753
Paper,1,asset,0.06929232246324506
Paper,1,assumptions,0.06836176083387001
Paper,1,expected,0.06505648236022914
Paper,1,returns,0.061883195678581124
Paper,1,estimates,0.05623604553193893
Paper,1,capital,0.04883150270022984
Paper,1,market,0.046706237106205174
Paper,1,classes,0.04389487098664706
Paper,1,return,0.0433051051679698
Paper,1,equity,0.039510441110557105
Paper,2,2021,0.06310451303744337
Paper,2,crossroads,0.062444872742721196
Paper,2,questions,0.05395117254141815
Paper,2,investment,0.048331651660625155
Paper,2,recovery,0.04732765235427885
Paper,2,history,0.044959310451181796
Paper,2,way,0.041335436393049534
Paper,2,street,0.04067666278445976
Paper,2,economic,0.039447568880170564
Paper,2,year,0.038596716829370326
Paper,3,accessible,0.1738072728612983
Paper,3,art,0.11137961631915988
Paper,3,export,0.11137961631915988
Paper,3,accessibility,0.10505048904114035
Paper,3,multi,0.10264501624516018
Paper,3,invest,0.09423884439522896
Paper,3,outlook,0.09353334775778295
Paper,3,estate,0.08628219903022209
Paper,3,21,0.08161491137616533
Paper,3,wealth,0.07897582496244233
Paper,4,vice,0.3117597698771608
Paper,4,president,0.2888392529436206
Paper,4,goldman,0.24365518107868875
Paper,4,sachs,0.24365518107868875
Paper,4,strategy,0.19187540118534743
Paper,4,group,0.1816612605907043
Paper,4,investment,0.15305023025864634
Paper,4,managing,0.1287875396203148
Paper,4,director,0.12769765266802363
Paper,4,expressed,0.10095607886729056
Paper,5,value,0.15468177723999285
Paper,5,gmo,0.1175035947630803
Paper,5,quality,0.06801708892448165
Paper,5,portfolio,0.06704199566186417
Paper,5,gmos,0.060575219782587605
Paper,5,deep,0.05921780259694797
Paper,5,opportunistic,0.0566420244469947
Paper,5,valuation,0.05112204981555721
Paper,5,event,0.04784647945274581
Paper,5,cap,0.04473179358861256
